[00:50:09] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[00:50:09] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[00:50:09] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/ultimatum/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[00:50:18] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:50:21] [main/INFO]: Loaded 7 recipes
[00:50:21] [main/INFO]: Loaded 1271 advancements
[00:50:22] [Server thread/INFO]: Starting minecraft server version 1.20.1
[00:50:22] [Server thread/INFO]: Loading properties
[00:50:22] [Server thread/INFO]: Default game type: SURVIVAL
[00:50:22] [Server thread/INFO]: Generating keypair
[00:50:22] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:50:22] [Server thread/INFO]: Using epoll channel type
[00:50:22] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[00:50:22] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[00:50:22] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[00:50:22] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[00:50:22] [Server thread/INFO]: Preparing level "world"
[00:50:34] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[00:50:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
